K = 2
0.0100373 0.00084 260
0.0100568 0.00085 283
0.0100756 0.00086 195
0.0100937 0.00087 236
0.0101113 0.00088 188
0.0101284 0.00089 185
0.0101449 0.0009 272
0.0101611 0.00091 190
0.0101768 0.00092 331
0.0101922 0.00093 231
0.0102072 0.00094 153
0.0102218 0.00095 190
0.0102362 0.00096 172
0.0102503 0.00097 186
0.0102641 0.00098 155
0.0102777 0.00099 173
0.010291 0.001 181
0.0103041 0.00101 175
0.0103169 0.00102 214
0.0103296 0.00103 141
0.010342 0.00104 139
0.0103543 0.00105 147
0.0103664 0.00106 276
0.0103783 0.00107 162
0.0103901 0.00108 150
0.0104017 0.00109 193
0.0104131 0.0011 189
0.0104244 0.00111 192
0.0104355 0.00112 212
0.0104465 0.00113 143
0.0104574 0.00114 158
0.0104674 0.00115 136
0.0104786 0.00116 80
0.0104893 0.00117 80
0.0104997 0.00118 76
0.0105097 0.00119 73
0.0105195 0.0012 73
0.0105289 0.00121 74
0.0105382 0.00122 73
0.0105472 0.00123 73
0.0105559 0.00124 73
0.0105645 0.00125 74
0.0105729 0.00126 74
0.0105811 0.00127 74
0.0105892 0.00128 75
0.0105971 0.00129 73
0.0106048 0.0013 74
0.0106124 0.00131 75
0.0106199 0.00132 73
0.0106272 0.00133 73
0.0106345 0.00134 75
0.0106416 0.00135 74
0.0106486 0.00136 74
0.0106555 0.00137 73
0.0106623 0.00138 74
0.010669 0.00139 74
0.0106757 0.0014 75
0.0106822 0.00141 74
0.0106886 0.00142 74
0.010695 0.00143 74
0.0107013 0.00144 72
0.0107075 0.00145 73
0.0107137 0.00146 74
0.0107197 0.00147 73
0.0107257 0.00148 73
0.0107317 0.00149 74
0.0107376 0.0015 74
0.0107434 0.00151 74
0.0107491 0.00152 75
0.0107548 0.00153 74
0.0107605 0.00154 74
0.0107661 0.00155 75
0.0107716 0.00156 73
0.0107771 0.00157 74
0.0107825 0.00158 74
0.0107879 0.00159 73
0.0107933 0.0016 73
0.0107986 0.00161 76
0.0108038 0.00162 73
0.010809 0.00163 73
0.0108142 0.00164 74
0.0108193 0.00165 73
0.0108244 0.00166 73
0.0108294 0.00167 74
0.0108344 0.00168 73
0.0108394 0.00169 73
0.0108443 0.0017 74
0.0108492 0.00171 73
0.010854 0.00172 73
0.0108589 0.00173 74
0.0108636 0.00174 73
0.0108684 0.00175 73
0.0108731 0.00176 73
0.0108778 0.00177 72
0.0108825 0.00178 74
0.0108871 0.00179 75
0.0108917 0.0018 73
0.0108962 0.00181 74
0.0109008 0.00182 74
0.0109053 0.00183 72
0.0109098 0.00184 73
0.0109142 0.00185 75
0.0109187 0.00186 72
0.0109231 0.00187 72
0.0109274 0.00188 74
0.0109318 0.00189 72
0.0109361 0.0019 73
0.0109404 0.00191 74
0.0109447 0.00192 72
0.0109489 0.00193 73
0.0109532 0.00194 75
0.0109574 0.00195 73
0.0109615 0.00196 74
0.0109657 0.00197 74
0.0109698 0.00198 72
0.010974 0.00199 74
K = 7
0.00462456 0.0002 174015
0.00588377 0.00025 10940
0.0067657 0.0003 3138
0.00741098 0.00035 1815
0.00793673 0.0004 1379
0.00835316 0.00045 781
0.00870832 0.0005 553
0.00901971 0.00055 204
0.00928001 0.0006 192
0.00948822 0.00065 228
0.00966624 0.0007 264
0.00981756 0.00075 186
